index,text,start_char,end_char,char_count,word_count,metadata
0,"Hey everyone, welcome back to the channel. We're going to be talking about AutoCAD 2026. We'll be going over the basics of the program. If you're using an earlier version of AutoCAD, this still works for you. Don't worry about it. So, let's just dive right into it and get started. So, we're just going to go over what is AutoCAD, how it works, and how you can start drawing in 15 minutes. So, without further ado, let's get started. So, you can see here we have the recent folder. So, in the recent folder, this is where your recent drawings are. Um, I'm sorting them by last opened. And again, I only have one available because I just started using AutoCAD 2026. We have learning. So, in the learning column, we have things that we can learn more about AutoCAD. So, how it works, you know, how to do certain things, and it's more like advanced tutorials. Then we go over here, we have Autodesk projects. Don't worry about that. My insights, I also don't use that either. Uh, don't worry about that. And then down here, we have our help and everything like that.",0,1064,1063,196,"{'chunk_size': 1000, 'overlap': 200}"
1,"go over here, we have Autodesk projects. Don't worry about that. My insights, I also don't use that either. Uh, don't worry about that. And then down here, we have our help and everything like that. So, the the web app, the mobile app, customer support, the community form, online help, what's new in AutoCAD 2026. We don't need to worry about that. Most of you are more concerned with starting a drawing. So, if you come up here, you're going to see we have open and new. We don't need to worry about open right now. Um, we're just going to go to new. So, if I click the down arrow, I can browse templates, get more templates online, or create a sheet set. So, again, these are things that you're going to learn later on, but to keep this under 15 minutes, we're going to go real quick. We're just going to click new. So, click new, and you are going to be brought to a new sheet set. So, the first thing you're going to want to do when you get into AutoCAD of any version is you're going to want to set your units. So to do that, we need to type in the units command.",864,1935,1069,210,"{'chunk_size': 1000, 'overlap': 200}"
2,"new sheet set. So, the first thing you're going to want to do when you get into AutoCAD of any version is you're going to want to set your units. So to do that, we need to type in the units command. But before we do that, I'm going to show you guys a command that's going to help you do things way faster than if you didn't know this. I don't understand why it's not taught. Mostly in most schools, you won't learn this. So just come down here to the type a command in the command bar. So just click that. And then you're going to follow along with me and type in dyn mode. Once that is done, press enter. And you're going to see that it's going to see say enter new value for I call it d mode, dine mode, whatever you want to what, however you want to pronounce it really. um you're going to want to set that to three. So, I currently have mine set to three. What this does is it allows you to just start typing without having to click on the command bar or click, you know, tools in order to use them. It just increases your speed exponentially.",1735,2784,1047,210,"{'chunk_size': 1000, 'overlap': 200}"
3,"t to three. What this does is it allows you to just start typing without having to click on the command bar or click, you know, tools in order to use them. It just increases your speed exponentially. So, keep that on three, press enter, and then we can continue on here. Once you have that set, we're going to want to type in units. So, we type in units into AutoCAD, press enter, and you're going to see we're going to have our drawing unit. So, this is where we set up our drawing. Now, this depends on what drawing you're doing, who you're doing a drawing for, whether you live in the States or you live in Europe, uh, or anywhere else, it really depends who you're working for and what type of units you're going to use. Most of the time we do architectural units and we do, uh, feet or inches. Most of the time it's inches. Once you have this set to what you want it to be, click okay. And now your units will be set for this drawing. So, we're just going to quickly come up here and we're going to go to our home ribbon right here.",2584,3622,1037,205,"{'chunk_size': 1000, 'overlap': 200}"
4,"have this set to what you want it to be, click okay. And now your units will be set for this drawing. So, we're just going to quickly come up here and we're going to go to our home ribbon right here. So up at the top, you can see we have a bar across that has lines, poly lines, circles, arcs, all these tools. And it looks kind of confusing, but just relax. We'll get through this together. So you can see here we're going to start with drawing lines. So you can see here we have a line. If we click the line tool, we can also type in line. So you don't have to click it. If you type in line, this is because we have the command we set earlier. You can press enter and you'll be able to start drawing a line. So you can see we can specify a first point. Um, this isn't really too necessary for the kind of work I do, but for some of you it might be helpful. So, what this does is it specifies where the first point of the line is going to start. However, I'm just going to go click somewhere and draw it across. And you can see I have my line here. Let's say I want to have it 15 ft across.",3422,4514,1091,228,"{'chunk_size': 1000, 'overlap': 200}"
5,"s where the first point of the line is going to start. However, I'm just going to go click somewhere and draw it across. And you can see I have my line here. Let's say I want to have it 15 ft across. So, I type 15. I put the feet symbol. And then once that's done, I can specify an angle. So, do not press enter yet. Press tab. And then you'll be brought to your degrees. So, you can set this to 90. You can set it to 180. Just make sure you have this set exactly because this is how you draw exactly. You want things to be exact and this is how you be exact. I want it to be zero, so I'm just going to leave it at zero. Press enter and I'm going to have my line drawn right there. So, there is our line. So, one thing that we should touch on before we move on is we're going to talk about our snap settings. So, I encourage you to have the same snap settings as me because if you set them to the same ones I have, it'll be easier to follow along. So, just come down here with your cursor and you'll see this little bar right here.",4314,5346,1031,217,"{'chunk_size': 1000, 'overlap': 200}"
6,"have the same snap settings as me because if you set them to the same ones I have, it'll be easier to follow along. So, just come down here with your cursor and you'll see this little bar right here. press the down arrow and you're going to see we have our snaps here. So, what these snaps do is it allows us to, you know, have our lines and our drawing things snap together. And we'll show you a little bit of examples of how that works later on. But just pause the video, take note of what I have, set yours to what I have here. Uh, and the reason I have these set is because they're not too annoying. They go exactly where I need them to go. And again, it'll be easy for you to follow along. Now, not everyone is going to use the same ones I use. Some of them will be shut off for different people. Some of them will be turned on that I don't have turned on, but these are the ones that I find work best for me. So once that's done, we can we can get out of there. And then what we want to do is we want to move on to our polyline. So just come up here to poly lines.",5146,6217,1070,224,"{'chunk_size': 1000, 'overlap': 200}"
7,"are the ones that I find work best for me. So once that's done, we can we can get out of there. And then what we want to do is we want to move on to our polyline. So just come up here to poly lines. A polyline is a line that is connected to other lines. So what do I mean by that? So you can see here I have a line. So this is a line. But if I have a polyline, I click and let's say I go up and then I do this and I do that and I close that off. And that's another thing. Once you're done drawing, press escape and it will cancel the command. So that's something that's very important to know. So you can see here if I just draw lines because I can draw lines like I draw poly lines. Um but there's a big m there's a big difference between them. So you can see here when I'm hovering over and selecting I have to go and select each and every line individually that is a line. So you can see that they're not connected to each other. I can join them by typing the join command. I believe you press join and then yeah now you have a polyline.",6017,7059,1040,221,"{'chunk_size': 1000, 'overlap': 200}"
8,"line individually that is a line. So you can see that they're not connected to each other. I can join them by typing the join command. I believe you press join and then yeah now you have a polyline. But if you don't or if you use poly lines, I can just click one of the many types of lines that are connected to each other and it will select all of them. So that's a very important tool to have. Once we're done with poly lines, we go to circles. The circle command quite simple. You just go, you draw a circle. Uh it's going to start with the radius. So I'm just going to do let's say 2 feet and it'll be the radius is 2 feet. You can also specify the diameter if you have to. So if I go and click the circle, I can go down here. You're going to see it says specify radius of circle or and then it'll have an arrow down. Press the down arrow on your keyboard and you're going to see we can have um it's going to have either a radius that I have set previously or diameter. I can select diameter. I press enter uh and it will then allow me to set a diameter instead of a radius.",6859,7939,1078,222,"{'chunk_size': 1000, 'overlap': 200}"
9,"see we can have um it's going to have either a radius that I have set previously or diameter. I can select diameter. I press enter uh and it will then allow me to set a diameter instead of a radius. Not for some people it's really helpful, for other people it doesn't really matter. Once that's done, we have arcs. We have a variety of arcs here. I'm not going to touch on all of them. You can pause the video, see what type of arcs there are, or you can go onto your own AutoCAD, find the arcs that you would like to work with. And you can see we have most of the time you're going to use three point. So the three-point is you specify the start point, uh you specify the second point, and then you can specify the third point. And you can see here I just created an arc. Simple to follow, easy to use, not too difficult to understand. You can also edit them. Um but for the most part, most of you don't really need to know that right now, but if you do, we'll be making a tutorial on that. Then if you come here, you're going to have a rectangle tool.",7739,8794,1053,212,"{'chunk_size': 1000, 'overlap': 200}"
