O que é que você está fazendo?
O que é que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
Então, se eu estou em this lugar, você pode ver que temos 3 colores.
Vamos fazer o que você está fazendo e o que você está fazendo.
E quando você está fazendo com os seus bobas,
eles estão em um destino.
Porque isso é o que você está fazendo.
E quando você está fazendo,
você está em um lugar que você está fazendo.
E também, você está em um lugar que você está fazendo.
E também, você está em um lugar que você está fazendo.
E você está em um lugar que você está fazendo.
Então, isso é um lugar que você está fazendo.
Então, nós vamos fazer uma decisão de avançar.
Agora, se você está em um lugar,
então, esses dois dois, você pode ver que você tem esse boxo.
Então, é um lugar que você está fazendo.
Então, o que você está fazendo é o boxo,
o que você está fazendo, o que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
Então, vamos fazer um lugar que você está fazendo.
