chunk_id,content
0,"O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que"
1,"e é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
O que é isso?
Então, vamos fazer o primeiro aqui,
e ele vai fazer um gráfico
para illustrate o que ele vai fazer.
E vamos fazer o que você vai fazer.
Então, vamos fazer o que você vai fazer.
E aí, ele vai fazer um dialogo de box-up,
onde podemos entrar a informação
sobre o que você pode entrar.
Então, podemos entrar,
freir o material,
de gelo,
de gelo,
e vamos ver.
E, então, vamos entrar,
então, esses são as coisas que você pode entrar no lado do lado.
Então, isso é um lado do lado.
O que é isso?
O que é isso?
E ele vai fazer o que é isso?
O que é isso?
Vamos fazer o que é isso?
E ele vai fazer o que é isso?
Vamos fazer o que é isso?
Vamos fazer o que é isso?
Então, vamos fazer o número 2,
e vamos fazer o número 3."
2,"zer o que é isso?
Vamos fazer o que é isso?
Então, vamos fazer o número 2,
e vamos fazer o número 3.
Então, podemos entrar em números,
ou seja, vamos fazer aqui,
e justipe em um número,
e isso vai ser reflacto.
Vamos fazer o que é isso.
Então, isso é isso.
Então, todos os dois,
nós temos um número,
que, se temos dois mais dois,
que são a mesma,
que é o que ele vai fazer,
e que ele vai fazer os dois,
e que é o que é o que ele vai fazer,
então,
se este é o que ele vai fazer,
e este é o que ele vai fazer,
e eles vão ser um número 1,
mas,
mas, porque este é o que ele vai fazer,
este é um número 2,
e,
mas,
eles são a mesma.
Então,
os dois dois,
você tem que dar um número 2,
e o número 2,
então,
é uma vez mais,
então,
eles são a outra.
E a mesma vez,
quando nós vamos fazer os dois,
os dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
3,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois"
4,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
5,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
6,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
7,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
8,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
9,"dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
10,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
11,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
12,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
13,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
14,dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
15,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
16,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
17,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
18,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois"
19,"dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois dois
dois dois dois dois dois dois dois dois dois"
