chunk_id,content
0,"E aí, everybody!
Thank you for joining me, antes de este episode,
vamos nos vemos no final do Freming Plan.
Por favor, esse é um vídeo que temos que ter sido um vídeo que temos que ter sido um vídeo que temos que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo"
1,"ido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que
tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um"
2,"er sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido
um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um"
3,"er sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem
um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que te"
4,"deo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem
aqui é a gente que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que t"
5,"tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo
que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que t"
6,"tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter
que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que t"
7,"ídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um
que tem que ter sido um vídeo que não podemos ser tudo bem, então vamos fazer isso, vamos fazer isso, vamos fazer isso
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso,"
8,"zer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer"
9,"mos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
fazer isso, mas é a ideia de que a gente vai fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vam"
10,"isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos faz"
11,"vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
vamos fazer isso, vamos fazer isso, vamos fazer isso, vam"
12,"vamos fazer isso, vamos fazer isso, vamos
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vam"
13,"isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer iss"
