chunk_id,content
0,"okay so welcome to episode 12 of our one
bedroom house and uh you know we have
come a far away
and uh today we're gonna just move a
little bit further
into this project all right so stick
around
[Music]
so i want to say thanks to those of you
who have been following all my videos
thanks to all my subscribers i really
appreciate the support
and if it's your first time on the
channel thank you for joining and i hope
that you
like what you're seeing you know and if
you do just you know consider
sub"
1,"oining and i hope
that you
like what you're seeing you know and if
you do just you know consider
subscribing as well consider hitting
that like button turn on the
notification and guess what
that's it just drop a comment below and
ask your questions
you know just answer christine when i
say a word make up yourself
that's it alright so let's talk about
views
all right now views are very important
as they are needed to create
working drawings and if you don't know
what working drawings are is the"
2,"s they are needed to create
working drawings and if you don't know
what working drawings are is the same
thing as blueprint so you know the
blueprinting
it's same one and we all know that the
blueprint is what
we use to construct the building without
the blueprint you cannot
construct the building so it is it is in
the same way without the views
we cannot have the blueprint so we need
to create our
views and views are easy to understand
it's really
looking at the object from uh different
angles"
3,"r
views and views are easy to understand
it's really
looking at the object from uh different
angles
so we want to look at the side we want
to look at the
top the front the back we want to look
at
the inside we want to have various views
to represent
as much uh detail as possible so that
when they are ready to
build the structure they would have
enough information
all right so in this video today we're
going to be creating uh these views
let's see where it goes from there you
know what i mean let"
4,"e're
going to be creating uh these views
let's see where it goes from there you
know what i mean let's get it
so we have completed our drawing we did
our fixtures foundation we should have a
drainage construct
and uh columns uh our stiffness we would
want to create those two
as well which i will be doing in the
near future but i want to go ahead and
show you how to create views
so you can start working on those all
right so under your views tab you want
to make sure
that you organize your views"
5,"rking on those all
right so under your views tab you want
to make sure
that you organize your views properly
because you don't want to get them all
mixed up and become confused over time
all right so in here we have the ability
to create
more folders and to structure everything
so i'm going to be putting all our views
in
three different categories our folders
which would be architecture details
and sections and elevations all right
so as you can see on the left side of
the screen that's how we'r"
6,"d sections and elevations all right
so as you can see on the left side of
the screen that's how we're gonna lay
out
um our views and also when we go to
sheets we're gonna kind of do the same
thing so let's go ahead and we're gonna
create some folders all right so by
clicking on new category that's how we
do it so
i'm going to call this one architect
here right click on views again and say
category call this one uh
section and elevation
i'm putting all sections and elevations
within this folder a"
7,"call this one uh
section and elevation
i'm putting all sections and elevations
within this folder and then i'm going to
create another one and call this
details i'm going to drop all the
details in this
folder and of course you can create as
many you can break them out
for some persons they would want to put
different
trades in different folders so you would
have an electrical
folder you would have a plumbing hvac
so on and so forth for a larger project
but for this tiny little building i'm
goi"
8,"ve a plumbing hvac
so on and so forth for a larger project
but for this tiny little building i'm
going to just drop
all the electrical and plum drainage and
everything inside of that
i'm going to drop our sections here and
our details
here so now that we have all three
categories what i'm going to do is to
create some views within our
architectural folder so let's go ahead
and right click on
this and we're gonna say new drawing now
we could break architectural down into
more categories by creati"
9,"and we're gonna say new drawing now
we could break architectural down into
more categories by creating
more sub folders but we're not gonna do
that we're gonna just go straight into
the drawings and we're going to create a
general drawing and the first one we're
going to do is called the
3d view that's usually the first view
you want to uh
you want to create so that you can see
what the building looks like in 3d so we
click
on the next and of course we want to
include both levels
we want to see"
10,"ooks like in 3d so we
click
on the next and of course we want to
include both levels
we want to see everything and we hit
next and
we also want to see all of these
constructs
and then we're going to hit finish
so as you can see that drawing our view
has been created
inside of our architectural folder so
let's go ahead and open that
up and right down here we can see that
we have
um this dr this view and if we should
rotate it in
three dimensional you can see that it
now has
everything inside of i"
11,"w and if we should
rotate it in
three dimensional you can see that it
now has
everything inside of it all right
so what is happening here is that we
pulled all
of our constructs into one
drawing into a view so that we can
see them all together so
let's go over to our external reference
panel now if you're not seeing this just
type the command
x ref and that should bring it up and
now you can see all
three uh constructs being displayed here
so if i should click on fixtures you can
see the fixture"
