chunk_id,content
0,"hi everyone thank you for joining me and
episode number five for one bedroom sins
so in the last video we did was and of
course you know we need we need to find
a way to enter the house correct so in
this video we're gonna be putting in our
doors and our openings I wanted to do
windows as well but the video will be a
little bit too long so I'm gonna just
cut it right there and then we do
windows
[Music]
all right so before we get started what
I want you to do is to get familiar with
the differen"
1,"Music]
all right so before we get started what
I want you to do is to get familiar with
the different types of doors and windows
it's important that you know how each
type of your work and all each type of
window work so without further ado let's
get into it all right so here we are in
autocad and the first thing i want to
mention is that you don't need to worry
about layers at this point because
AutoCAD will generate your layers for
you all right so for every tool that we
use over here for inst"
2,"AutoCAD will generate your layers for
you all right so for every tool that we
use over here for instance last video we
placed our wall AutoCAD creates a wall
layer for us it gives us a color it
gives us the line weight let me show you
alright so here we are it gives us a
color we can change the color it gives
us the line tab and the line width all
right the only thing I would probably
change is the color if I'm gonna change
anything I wouldn't change the line
weight because the line width is
act"
3,"e color if I'm gonna change
anything I wouldn't change the line
weight because the line width is
actually a good line weight to use the
recommended line width that AutoCAD
gives is what we're gonna work with all
right and it's the same thing when we
create our doors we will get a layer
four doors same thing for Windows and
other other elements that we're gonna be
creating all right without further ado
let's begin so I'm gonna go back to our
top view and I'm gonna go back to 2d
wireframe so this"
4,"ado
let's begin so I'm gonna go back to our
top view and I'm gonna go back to 2d
wireframe so this is where we left off
and we're gonna move forward from here
if you look at the bottom right of your
screen you're gonna see the door
schedule so on this building we have
three doors we have one at the entry
here from the porch to the living the
second door would be at the bedroom from
your living room to the bedroom and then
the third door would be from the bus
from the living ear to the bathroom"
5,"om to the bedroom and then
the third door would be from the bus
from the living ear to the bathroom so
we only have three simple doors on this
house and then we have three openings as
well we have one at the front here and
we have one here
and we have one to enter into the
kitchen alright so the first thing we're
gonna do is to put in our openings which
is actually very very easy by the way if
you need to this drawing you can
download it from the link in the
description as well as all the other"
6,"need to this drawing you can
download it from the link in the
description as well as all the other
materials that are related to this
particular drawing so let's go so of
course if you look under your tool
palette which is right here again if you
don't see this go to tools and click on
content no sorry
click on design tools alright and it
should bring up your tool palette and
under your tool palette we have a quite
a few stuff and now we're doing doors
under doors we do have this opening but
th"
7,"tte we have a quite
a few stuff and now we're doing doors
under doors we do have this opening but
this is not opening that we're looking
for
this is cased opening which means that
this opening has a frame okay and we
don't need a opening with a frame so
where we want to find the right opening
is we go back to design and we go down
to the opening we can find it here or we
can go to doors at the top here and we
find it here is the same thing so I'm
gonna use this one and the first thing
we're gonn"
8,"here and we
find it here is the same thing so I'm
gonna use this one and the first thing
we're gonna do here it says select a
wall or enter so we're going to select
this wall right here so we need a
opening right there
we need one right there we need one on
this wall so that's the first thing we
did was to just place our three openings
of course if you knew the size we could
set it over here before but sometimes we
just have to do it free handed nothing
is wrong with that
minimize that and then"
9,"re but sometimes we
just have to do it free handed nothing
is wrong with that
minimize that and then what we're going
to do is just stretch these out all
right
that's really simple I'm gonna stretch
these out like that all right so that's
good so we are left with a little square
here which we're gonna use as a column
in this corner and then we're going to
fix this one
if you look at the properties it is
three feet wide and we need it to be
four feet so let's fix that seven feet
high that's good"
10,"it is
three feet wide and we need it to be
four feet so let's fix that seven feet
high that's good and everything is looks
good so and then we're going to move it
over into this corner so to go and grab
our move tool and we're going to move it
over like that so now all our openings
are done let's look at it in 3d
so now we can see that our openings have
been created beautiful so now we can get
on to the porch
no we need to get into the house muscle
all right bus let's get it back to the
plant v"
11,"to the porch
no we need to get into the house muscle
all right bus let's get it back to the
plant view before we move to the doors
what I'm gonna do is to put these the
openings on a hidden line layer all
right so as a matter of fact a layer has
been created for it already there we go
so what we're gonna do is to open our
layers palette you know if you can't
find this this is the little guy that is
responsible so you just click on that
and it's gonna bring up your layers
palette and then we're"
12,"is
responsible so you just click on that
and it's gonna bring up your layers
palette and then we're gonna go to
opening and we're going to change it
from continuous to hidden and then we're
gonna minimize that so now you can see
that your your arch are your openings
are being represented by dotted lines
which is what we want
all right the next thing we're gonna do
is to enter our doors all right
so we go back to our tool palette I'm
gonna stick it over I would go down to
doors all right now if y"
13,"o we go back to our tool palette I'm
gonna stick it over I would go down to
doors all right now if you look on the
door schedule it says that door one
which is located at the entryway right
here is a single hinge six panel
half-light all right now if you look
over here I already have it in my pallet
but I don't think you would have it in
yours all right so where do you find it
you would go to the more tools all right
which would bring up more all right and
in here you'll find a good amount of
do"
14,"more tools all right
which would bring up more all right and
in here you'll find a good amount of
doors
we have bifold double we have buy a full
single these are the ones would use on
that closet we have the keys open the
one that we spoke about earlier know
when you see double this means that that
door is
Dumbledore it has two doors swinging
alright what we need is a single doors
of the go across until we find single
door and this is the one that I chose
for this project you can go ahead I
thin"
15,"until we find single
door and this is the one that I chose
for this project you can go ahead I
think this would be the more suitable
one to use in Jamaica you know the six
panel solid rock
nobody can push it on back too easily
this is the one you don't want to use
alright any at all in Jamaica that is
what I'm gonna just use this one for fun
what you would do is to insert into your
drawing or add to palette in this case I
have already added it to my palette
which is right here so I'm gonna just"
