chunk_id,content
0,"Hello everyone welcome to another episode of the One Bedrooms.
This is the first 16 we need to go back and watch the links in the description.
Alright so we have moved over into the next phase of this project and this video will be
that first video of detailing where we will start to add dimensions and text and annotations
and stuff like that.
So I hope you have the time so stick around and I think you will learn a lot.
So yeah let's jump into it.
Zinn.
Alright so what we're going to do is to ad"
1,"k you will learn a lot.
So yeah let's jump into it.
Zinn.
Alright so what we're going to do is to add window tags and door tags to this drawing.
So far you can see that I've added some dimensions and of course I know you know how
to do this already.
If you have watched my one click dimensions video we got all of these dimensions which
just a couple clicks so these are like easy pickings now and we added some room tags as you
can see these were taken from the spaces that we had done in the projec"
2,"added some room tags as you
can see these were taken from the spaces that we had done in the project from earlier
on.
Of course I did turn a layer off so I'm not sure what I'm talking about so if I turn this
on you remember that space looking thing that's where these tags come from.
Alright so you definitely want to tag.
Definitely want to tag your spaces with their names of the rooms and then turn it off.
So of course we can move these in where we want and then we're going to just add some tag"
3,"rn it off.
So of course we can move these in where we want and then we're going to just add some tags
to these windows and the doors and also create a schedule for these.
If you notice we're not seeing three of our windows and if you have been following the
episodes coming up you would know how to fix this by clicking on that little guide down
here and raising the cut plane from three to four feet six inches so that we can see
the windows.
Alright good so now we can go ahead and tag.
We're going"
4,"six inches so that we can see
the windows.
Alright good so now we can go ahead and tag.
We're going to start with doors so let's go over to annotate and we're going to click on
door tag.
So this is the room tag tool that I use to tag the rooms so of course you can go ahead
and do that.
We're going to do some door tags now so once you click on it all you need to do is select
the door that you want to tag.
So we're going to do the first door here and it gives you a little graphic there to
illustr"
5,"to tag.
So we're going to do the first door here and it gives you a little graphic there to
illustrate what it would look like.
You're going to place it where you want it now so I'm going to place it like right here.
Then it brings this dialog box up where we can enter information about this door so
we can enter like framing material, glazing, head to detail, blah blah blah blah.
Remove that.
I did enter that early but I don't want it to be here anymore.
Alright so these are things you can ente"
6,"id enter that early but I don't want it to be here anymore.
Alright so these are things you can enter into the door so this would be door one.
Hit okay and it leaves the tag there.
We're going to do the second door which would be this one.
We're going to hit and it brings it up.
Remove that.
Hit okay.
So we have door number two and this would be door number three.
Of course you can enter your numbers manually by clicking here and just typing in the
number that would be reflected outside.
We're g"
7,"ers manually by clicking here and just typing in the
number that would be reflected outside.
We're going to hit okay.
Alright guys so that's all the doors we have no bearing mind that if we have
two or more doors that are the same exact size style then you would want to give those
two doors are three doors the same number okay so if this door and this door were the same
then they both would be saying zero one.
But because this is an exterior door this is an interior door there are two different"
8,"ing zero one.
But because this is an exterior door this is an interior door there are two different doors
even though they are the same size.
Alright so two different doors you have to give them two different numbers.
This one is obviously smaller so that would definitely need us and a different number.
And the same thing applies when we move to windows.
These four windows at the front of the building are the exact same size, same style, same
material, same everything.
So we want to make sure th"
9,"ding are the exact same size, same style, same
material, same everything.
So we want to make sure that all of these windows have the same number likewise with
two kitchen windows these are the same so we're going to give those the same number.
This window is obviously different so that's going to have its own number.
So let's click on window tag.
I'm going to do like this boom.
Click on that.
Now we're going to drop the tag somewhere where there is a little bit of space so I'm
going to drop it r"
10,"we're going to drop the tag somewhere where there is a little bit of space so I'm
going to drop it right there.
So that would be number one and I'm not going to add anything in there I'm going to
leave it blank for now.
I'm not going to be adding anything in that I'm just you can go ahead and add these
information.
The good thing is when you add stuff in here you can pull these out in a schedule.
That is what this is for.
So of course if you're doing like a commercial building and you need to pu"
11,"That is what this is for.
So of course if you're doing like a commercial building and you need to put in fire, fire
proof rating and that kind of stuff you're going to need to enter those information into
the door or the window.
All right.
So this would be our window one of course again.
This would also be another window one.
Good.
This would be a normal one as well.
Now if you sit in number changing guys, go click in there and type in the right number.
All right.
I'm going to this one should be"
12,"ing guys, go click in there and type in the right number.
All right.
I'm going to this one should be a tool.
Good.
This one should be a tool as well.
Awesome.
Now this one should be a three.
Beautiful.
So now we have all of our window tags and door tags added.
I guess what the floor plan is basically done.
I don't need anything else for the floor plan.
It's all done guys.
I'm just going to need this a little bit more.
And see this is kind of touching the building.
I don't like that.
So I'm going"
13,"is a little bit more.
And see this is kind of touching the building.
I don't like that.
So I'm going to click on this.
Here I can edit.
That's good.
All right.
So that's how the floor plan would look.
And then we are going to, what if I can pull this out somewhere?
Let me see.
Beautiful.
Nice.
All right.
So the next thing we're going to do is we're going to create some schedule.
So go to door schedule, which is one of them going to do first.
Door schedule click on that.
And it says here, select"
14,"dule, which is one of them going to do first.
Door schedule click on that.
And it says here, select the objects are enter to schedule external drawing.
So of course this we know that this is an external drawing because it's an X reference.
So we're going to hit enter.
And then it says no, please search schedule.
So you need to click your first corner and your second corner.
And if you notice here is our schedule.
I like to scale it to 50.
Let's move it over a little bit.
All right.
So we can act"
15,"is our schedule.
I like to scale it to 50.
Let's move it over a little bit.
All right.
So we can actually go in and remove some of these that we are seeing here.
Honestly, what I don't would I have never used half of this stuff in here.
So we're definitely going to can remove some of these.
I'm not sure if I'm going to be doing that in this video.
But so here we have this schedule.
Nothing is in there because we need to add the drawing
that we want to pop up in this schedule.
So we're going to h"
16,"here because we need to add the drawing
that we want to pop up in this schedule.
So we're going to hit add.
And then we're going to select the drawing that we want.
So this would be that drawing and we're going to hit enter.
And then no, we can see our door is popping up.
We have the mark which is 1, 2, 3.
With height thickness.
If we had placed a material in there, it would be there.
If we had enter any of those other information, then it would pop up inside of here.
And of course, if you want"
17,"ter any of those other information, then it would pop up inside of here.
And of course, if you want to remove stuff, you can go to the edit style here.
And just click on this check out the column you want.
And just delete it.
All right.
Just go ahead and delete stuff.
Make sure you don't delete stuff you need.
All right.
We're going to hit.
Okay.
Let's do a window schedule now.
We're just going to hit enter.
We're going to draw a hot table.
Scale it to 50.
Then we're going to add this kind there"
18,"hit enter.
We're going to draw a hot table.
Scale it to 50.
Then we're going to add this kind there.
So now this one's a little bit more interesting because we have a variety and we have some
duplicates.
We have four different four of the same windows.
We have two of this type of window.
And we have one of this type of window.
And so if you notice it itemizes every single window, what if we want a group them
up though?
What if we could have a column that says quantity three, we would be four of"
19,"a group them
up though?
What if we could have a column that says quantity three, we would be four of these
two of these and one of that.
That's exactly what we're going to do by just going back to edit style and check this
little box here.
That says include quantity column.
We're going to hit okay.
And no, we have a column that says quantity.
And then it kind of group them up to say, all right.
We have four of this one.
We have the same size.
We have two of this one.
The same size and we have on"
20,"have four of this one.
We have the same size.
We have two of this one.
The same size and we have one of this window.
So that's how you would go about doing that.
And of course I'm going to kind of put these side by side.
So that I can create my views.
All right.
Now we're going to create some views.
So go to view and we're going to say new.
I'm going to call this.
This is where plan.
Create a window.
I'll know how to do this already, right?
Yep.
You should know from the previous episode.
I just"
21,"dow.
I'll know how to do this already, right?
Yep.
You should know from the previous episode.
I just about that.
Probably should have given it a little bit more space.
I'll let it go.
Let me give it some space at the bottom.
Good.
Okay.
So we'll have a view there.
And then we're going to do one for the schedule at the same scale.
Okay.
Make sure that scale is one and a quarter.
Now we're going to call this.
Um, the fact that probably should do them both separate.
So I'm going to do a door schedu"
22,"call this.
Um, the fact that probably should do them both separate.
So I'm going to do a door schedule.
Pick.
I do a schedule is going to be from that to that.
Hit enter.
And then I'm going to do another one.
New.
No, schedule.
Enter.
All right.
So we have created three views here.
What will happen is that it will pop up underneath.
Or floor plan drawing.
We have doors schedule windows schedule and your floor plan right there.
All right.
So these are what we're going to be using on our sheets.
W"
23,"d your floor plan right there.
All right.
So these are what we're going to be using on our sheets.
When we start to create sheets.
One of the things I want to do last is to add the title to this drawing.
So I'm going to go ahead and add a title with the circle.
And if you notice once I click on it, this box pops up.
Then we can go ahead and draw or title right here.
Title comes in with your name and your scale.
Once you put it on a sheet, that will become populated.
All right.
All right.
All rig"
