chunk_id,content
0,"Hey everybody, welcome to another episode of our one bedroom house series and today what we're going to do is to take a look at drainage systems and see how best we can implement a drainage system layout for this one bedroom house.
Alright, so if that's something you're interested in then stick around man.
Alright guys, so welcome back and thank you for joining me with the first time. Don't be afraid to hit the subscribe button especially if you like what you're seeing.
If you have questions again don't be afraid to ask your questions below I'll try my best to give you an answer."
1,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
2,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
3,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
4,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
5,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
6,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
7,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
8,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
9,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
10,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
11,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
12,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
13,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
14,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
15,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
16,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
17,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
18,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
19,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
20,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
21,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
22,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
23,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
24,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
25,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
26,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
27,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
28,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
29,questions again don't be afraid to ask your questions below I'll try my best to give you an answer.
