index,text,start_char,end_char,char_count,word_count,metadata
0,"All right, welcome everyone. Today is all about tool pallets. Real quick, those of you who are first timers here, or those of you who have not seen or heard me before, I've got over 36 years of experience in AutoCAD across multiple industry segments. I'm currently one of our senior support specialists here in our technical support groups. So if you have a contract with us and you call in for support, there's a good chance you can get me. I've taught AutoCAD as a certified instructor as a matter of fact, I'm teaching civil 3D next week for four days. I've got more than 15 years in CAD management, eight years in cruise ship building, five years supporting civil surveillance gate architecture. Pretty much run the gamut, the only thing I haven't really done is aerospace and automotive engineering or drafting. And I have a bachelor's in business management and master's an organizational management.",0,907,906,156,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
1,"drafting. And I have a bachelor's in business management and master's an organizational management. So today's agenda, we're going to cover what is a tool pallet? What you can put in a tool pallet, customers and creating tool pallets, how you share tool pallets to single users, multi-users to a common location. This is a common one we run across and I've got some bonus items at the end here that we're going to talk about. So let's get right into this. So what is a tool pallet? Tool pallet is used to organize tools that range from blocks to commands, hatch patterns, pretty much anything. And are displayed as part of the tool pallets window. You can customize tool pallets by dragging and dropping files from windows, explore file explorer, objects from a drawing area, contextual menus of a tool pallet window, customize your CYU, your customizable user interface editor, or the customized dialog box. Each tool pallet that is created represents a tab on the tool pallets window.",807,1794,986,170,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
2,"ustomized dialog box. Each tool pallet that is created represents a tab on the tool pallets window. The default folder to store tool pallets is percent update a percent that takes you to c colon backslash users, backslash your user name, backslash, update a backslash roaming. So rather than type all that out you could just put percent update a percent, they'll take you right to the roaming folder. Under Autodesk, your product name, your release your language, and then support tool pallets or pallets. And I'll show you where this location is. Right, so if we drag this over here, I can come here. I can go percent, app, data percent. I go to my Autodesk folder and you'll see here's all the stuff I have installed. We'll go AutoCAD 2023. Here's my R version. Here's ENU for language. And if we come to support, and here is my tool pallet location. So there's my tool pallet and here's where the individual pallets are located. So I want to make sure you guys knew that. So what can you put into a tool pallet? Well, pretty much anything. You can put AutoCAD commands. You can put blocks.",1694,2787,1092,198,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
3,"t into a tool pallet? Well, pretty much anything. You can put AutoCAD commands. You can put blocks. And you're not actually putting a block in there. You're putting a pointer to a block. So it's a quick way of holding onto your standards and or common things you use most often. You can put list proteins in there. In other words, if you have customized list proteins, you can put those commands in there. You can put hatch patterns, materials, and just about anything you can use in AutoCAD. You can put in there. You can put just about anything. So when we get around to this, now we're going to talk about customizing and creating tool pallets. So to bring up the tool pallet, you type in tool pallets in the command line. You navigate to the view tab and select tool pallets from the pallets area. Or you hold down the controlled key and hit the number three. Then it'll bring up your tool pallets. It comes pre-populated with some typical information that you may or may not use or need. You're going to find a lot of stuff in here, generally speaking.",2687,3745,1057,196,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
4,"at you may or may not use or need. You're going to find a lot of stuff in here, generally speaking. Everything that comes across in here, especially when you're dealing with things like this one, which happens to be the annotation tab. This one is all National CAD standards sized. So if you guys use National CAD standards, you'll see that these are actually National CAD standards sized correctly. And then to create a new tool pallet, you right mouse click on the title bar on the side. So you right mouse click over here and you say new new pallet, it'll open up a pallet here and it'll give you a name. Given the pallet, something you can come back to easily. So name it something you can remember. And then you add the items, commands, content as you see fit. Now to create custom pallet group. So when we're talking about pallet groups, is that you can have individual pallets and then you can group those pallets into a pallet group. So you can only, if you have, depending on which group you have active, you will only see the pallets contained in that group and not every pallet.",3645,4735,1089,202,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
5,"group you have active, you will only see the pallets contained in that group and not every pallet. So you can come over here and create a new pallet group in the customized pallets. You right mouse click in pallet groups here somewhere and you select new group. And drag the group. So it will be a separate group. So it's not under an existing group. And apparently I need to put a, uh, uh, and parentheses at the end of that, I'll make sure I do that before I send this PDF out to Lori if you want copies of the slides. And then you drag pallets from the left under the new group you just created. It's all very straightforward and simple. And then once you have the items in here, you can access additional features by right mouse clicking on the items in the tool pallet and selecting properties. And what I mean by that is you can change your name, your description. You can change where the source file is. You've got scale. So in other words, it's going to insert a scale of one auxiliary scale.",4635,5638,1001,191,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
6,"file is. You've got scale. So in other words, it's going to insert a scale of one auxiliary scale. If you are old school and you use dim scale or you use LT scale or some of the other scales, you can use the auxiliary scale to scale this information correctly. You can automatically add a rotation value here or you can turn on the prompt for a rotation. If you want to explode the block on insert, you can change that box here. Color is going to be by layer layers use current blind type is use current pot style. You can actually change this information. So if you want trees to always come on an A-Tree layer or a C-Tree layer or something like that, you can specify that layer as long as it's in the drawing when you create the tool pallet. You can set that layer and whatever layer properties this has. If that layer does not exist in your drawing, when you insert this block, it'll automatically create that layer and put the block on it. There are some other things. So for example, this tree here is a dynamic block.",5538,6564,1024,196,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
7,"ut the block on it. There are some other things. So for example, this tree here is a dynamic block. We know that from the little lightning bolt and you'll see that you can actually change which view you have of the dynamic block down here. When you insert it, this is what it's going to insert. So it'll insert the view is palm plan if I select this, it'll come in as palm in the plan view. So now let's do a quick little demonstration. We're going to go through everything that I just talked about. So here I am an auto-cad. Again, I'm just going to come up here. Here's my view tab. And here is where I can turn on my tool pallets right here. And you're going to see that I have just common tool pallets here. So first I'm going to do is I'm going to write mouse click here and I'm going to say new pallet and I'm going to call this webinar. So this is going to be our webinar pallet. Now here's some fun things, right? So I can come over here and since I have some information in here, I can do some very easy things from here. I can come into webinar. So here's my block pallet standard.",6464,7556,1091,218,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
8,"an do some very easy things from here. I can come into webinar. So here's my block pallet standard. I can come over here to pipe. And I can just click and drag these pieces in here. One at a time. I could do some group of items. Drag them all in here. Okay? Piece of cake. And I can also do things like I can write mouse click here. You'll see I can add a separator. So I've got a little separator bar in here. I can do things like I can add a piece of text. And I can say let's go. 8 inch pipe. So what I'm holding on to here is I can actually come in here. And I can set this differently. So I can if I have blocks built with Imperial measurement with 8 inch text height, how can I use these blocks without affecting on the text height? All right. So that's a more convoluted question. And it's more about blocks. So if you have blocks built with Imperial David, yes, we can load a list through there. I'll show you that in just a minute.",7456,8397,940,193,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
9,"lt with Imperial David, yes, we can load a list through there. I'll show you that in just a minute. So if I have blocks with Imperial measurement of 8 inch text height, how can I use these blocks with metric drawing without affecting on the text height? That's going to depend on how you are inserting them. If you're inserting them from here, they're going to utilize the insertion units. And it's going to scale it up or down depending on that. I have another webinar where I talked about units and insertion units and things like that. If you have your unit set correctly, Italy, they're scale the block. But it will. Right. So if we go to our properties here, right, you can scale them here. And I have them scale none and plot scale for auxiliary scale. But you can't leave your text height that 8 inches without altering the entire block. Okay. That's the important thing to note. SM is that when you insert the block from the block palette, it's no different than using the or when you're using a tool palette, it's no different than using the block palette or using the classic insert.",8297,9391,1093,201,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
10,"e using a tool palette, it's no different than using the block palette or using the classic insert. When you bring it across, it is going to scale it up or down based on the drawings and search and units. So if you need to leave it at 8 inch text height, that's going to be a different conversation we need to have. Okay. So getting back to David is a possible to load a list through the list palette. So I'm going to go ahead and make this a little bigger. And I'm going to write Musk click here and I'm going to say custom commands. This is where it gets a little interesting. So what we need to do is we need to find a command in here that we want to use. And it doesn't matter which one it is. Right. So here's my AutoCAD commands. These are all the things available through your CUI. And I'm just going to drag the arc over here. And it looks like an AutoCAD arc, but I can come in here and I can go to properties. And now I can change this to load up one of my list routines because I have some in here. And we'll go. No, I want to go the SQM. Right.",9291,10348,1056,218,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
11,"one of my list routines because I have some in here. And we'll go. No, I want to go the SQM. Right. So this is the command that's going to load. I can actually change the image here. It could give me a chance to do that. Right. So I'm going to come in here to properties. And I want. I'll change this to design layers. Right. I'll change this. This and I'll go K here. And then now I can specify a different image. So I would go find a different image. And now when I launch this it's going to launch my square meter by design layers. And it populates this from a list routine. Obviously this is no different than running it from a menu. So if I come in here, I can go to my properties. And this is where I can set control C control C. And then I can run the if statement. I can come in here and say load a specific list routine. And then run the command. I'm hoping that's what you're looking for David. That is how we normally load list routines through this. If you have a pull down menu or you have a ribbon tab, you can click and drag them from the ribbon right in there.",10248,11325,1076,219,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
12,"ull down menu or you have a ribbon tab, you can click and drag them from the ribbon right in there. How would you load a spec sheet created in word or Excel from the palette? That is a good question, David. Really, that's going to come down to how do you normally do it. If you're inserting word or Excel and you're using an OLA, you would probably need to continue to use that process. If you're using OLA, if you're using a data extraction or not data extraction, if you're linking to an Excel spreadsheet, you would still need to go through that process. There's not a way to shortcut it here. This is primarily meant for blocks and demands in some of the other things. Word and Excel constitutes more advanced functionality where you actually have to go through the picks and clicks. So let's come back here. So if I insert this block, you're going to see that that's right. And I inserted it on this zero P line layer. But what we're going to do now is we're going to come in here to properties. And I'm going to change which layer it comes on.",11225,12275,1049,200,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
13,"now is we're going to come in here to properties. And I'm going to change which layer it comes on. So if I put this on this layer, now when I inserted it comes on a different layer, the packs cabins, if I come to a brand new drawing, and you're going to see I have no layers in here. When I click on this and bring it in, oops, that one. You're going to see it automatically added that packs cabin layer. So this is a great way. And we run an old school bat file under command to copy large numbers of files or sync large numbers of files. John, you probably could do that. That would be a little more complex programming. You could if you can run that through a list, you can load the list in here where you open up the shell from Lisp and then you run your batch file or you run the command there where it'll open up the shell, the command shell in order to run something from the command from a command prompt. You could do that. So that's really all about this. And if we talk about we come back here, right, here's my properties here. Obviously we have door size.",12175,13245,1068,213,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
14,"if we talk about we come back here, right, here's my properties here. Obviously we have door size. So I can specify which door size I want to be my default. All right, so if I say this is a closed and you'll see my image updated here to the closed door. And now when I insert it's closed door, how does the new drawing know the layer properties color line weighted, et cetera? That is an excellent question, Jessica. When you set it up here, this information in here and I look at the properties, it hard codes this information into the palette. So inside the palette itself, and actually let's talk about this since we now have this percent app. These are excellent questions by the way. Right, our 22 and you support tool palettes palette. Right, here's my webinar tool palette. Now I'm going to show you this little later, but I'm going to get a little more into this so we can actually go in here and open this with just generic note pad. It's how we normally open this. So if we come in here and I look for control F and I go a X and I find next.",13145,14198,1051,205,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
15,"we normally open this. So if we come in here and I look for control F and I go a X and I find next. As part of that right here, what it's going to do is that when you insert that value, it is going to create this zero-packs cabin information and there's a label table record is not plotted as false line weight is minus three, symbol table record packs cabins. Basically what it's doing is it is going to create that layer on the fly from here. Can the block be brought in from design center? Uh, Baru? Hang on, that's one of my bonus ones that we're going to talk about in the it. Timothy, what's the best way to share it tool palettes with those of my team? Welcome Timothy. Have a talk to you in a long time. We are going to cover that and toward the end on how to share it. I just wanted to cover the basics here so that everyone could see exactly how we go through and create our tool palettes. So that's just the brief demonstration right here. So now let's talk about sharing. Good segue, Timothy. Good segue.",14098,15115,1016,201,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
