index,text,start_char,end_char,char_count,word_count,metadata
0,"Hello everyone, Edward here and welcome back to another video. Today I'm going to be showing you how to construct various types of roof in AutoCard architecture. And of course, if you know anything about roof, there are tons of different types or you could say styles of roof. And so just to list a few, these are what, you know, some of the typical ones you'll see out there. But we're going to take a look at Dutch hip, man'sard, Gambrill and perhaps a flat roof. Some of these are the ones we have covered in prior videos. So if you want to check those out, I'm going to drop the link, believe the like button. So yeah, go ahead and smash the like button. Without further ado, let's jump into it, shall we? So here I am in AutoCard architecture and what we're looking at here is a simple floor plan of a one-bedroom house. That I have featured on the channel before. I have a whole 24 episode series walking you through from start to finish of how to draw this exact building. So if you're interested in that, I'm a drop the playlist in the description of the video.",0,1070,1069,203,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
1,"building. So if you're interested in that, I'm a drop the playlist in the description of the video. However, this video is about roof and so let's jump into it. Yeah, so the first roof we want to look at is the Dutch hip roof. That's the most common name. But it is also known as the Dutch Gable or Bastan Gable. Some people call it Gable at roof, especially over in the UK region. However, this roof is a combination of a hip roof and a Gable roof together. And so the top of the roof is kind of caught short and you have a Gable situation happening at the top there. I don't know if there's a bit of way to explain it. But it does have some function to it. It gives a little buzz to your roof depending on the style that you're trying to go for. But it also offers the functionality of having windows in that space to have ventilation in the attic air of the roof. And so those are some of the reasons why folks may use this tap or roof over just a traditional hip roof. So with that said, let's jump into it.",970,1982,1011,203,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
2,"s may use this tap or roof over just a traditional hip roof. So with that said, let's jump into it. Alright, so the first thing we're going to do is to find the roof command, which is on your home tab. On the build panel, we click on the drop-run here and we have the roof tool. Now we're not going to be using the roof slab tool. I've gone into much more depth in prior videos. So I'm not going to be doing that today. But we're going to start with the roof tool here. So you click on that and of course the tool is ready to go. We have some properties that we can adjust. But we'll leave those for last. Why don't we start in this corner of the roof and we'll go over to the next corner. And typically you would go all around the perimeter of the building. In this situation, I just have a rectangular building. But if I had an odd shape building, I would want to make sure that I follow the shape of the building. So I'm going to click on my third corner here and immediately you can see that the hip roof is starting to form. And as soon as I click on my last point, I have a completed hip roof.",1882,2982,1099,225,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
3,"hip roof is starting to form. And as soon as I click on my last point, I have a completed hip roof. And all I have to do here is to hit enter to finish the command. If you don't hit enter, you're going to lose it. Okay, so you got to do that. Immediately, if we go into 3D view here, you can see that we have a 3D mention all hip roof. And we can make further adjustments to this, such as, you know, we can click on it. We can change maybe the thickness of the roof. Before I do that, let me go into our front view here so you can see exactly what's happening. And I'll zoom into like right here. So if I change a thickness, it, you know, it changes the thickness there. I can change the edge caught to plumb. And that will affect the eve. And we can change overhang, which would be the distance from here to here. And a couple of other things, such as the slope, which is probably one of the most important parts. So we can type an angle in here, such as 30 degrees. If you use ratio, you can enter that as well. A measurement out of 12.",2882,3921,1038,214,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
4,"in here, such as 30 degrees. If you use ratio, you can enter that as well. A measurement out of 12. So if it's a 7 inch out of 12 or something like that, you can enter your ratio in here as well. And then the plate height, of course, is a how far the roof sits from the ground level. In this instance, it's going to be 10 feet because the wall itself is 10 feet tall. Okay. So we want the roof to sit exactly on top of that wall. And so that's going to be your plate height. So once you have a hip roof, it's just a matter of creating that little gable at the end here and another one on this end. And to do that, what we need to do in AutoCAD is to create an additional face to this side and this side. And to do that, it's real simple. Yeah, because right now we have four faces on this roof. What we need to make this into a double slope and this into a double slope, meaning we need to add an extra face to this side and this side. So to do that, we would come to the roof contextual tab and we would click on edit edges.",3821,4847,1025,217,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
5,"his side. So to do that, we would come to the roof contextual tab and we would click on edit edges. Once you do that, you want to pick the two sides that you want to work on. So in this case, it's going to be this side and then I'm going to come over and click on this side. You can see that they are highlighted. That's important. You want to make sure that you have the correct edges highlighted. Once that happens, you hit enter and this will take you into the roof edges and faces dialog. So in here, you can see that we have both of our edges and each of our edges only has one face. So as you can see, it has our 30 degrees, but we need to add a second face down here on each of our edges. So what I'm going to do here is to click on my first edge, I'll come down to faces and to add it one as simple click inside and the second one is added. Now I want to slope for this one to be 90 degrees and that is going to be able to give us the gap end that we are looking for.",4747,5723,975,210,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
6,"s one to be 90 degrees and that is going to be able to give us the gap end that we are looking for. So if we type 90 degrees here, that's going to be the angle and we need to specify a distance here as well that is greater than what is at the top here. So this is in the negative, we don't care about that. We're going to make this three feet. All right. So at three feet height, we're going to have a 90 degree slope, which is going to go straight up in the ear and that's going to give us our gap. For the second one, we'll do the same thing. You notice that when you click on the second one here, it only has one face. So we need to click again to add a second face to our second edge. And once we do that, we're going to do the same thing. We put 90 degrees and we will add three feet in here as our height. And once you're done, that is it. Okay, you hit OK and look at that, we now have a Dutch hip roof. So if we click on the front view here, just rotate it and take a look at it, you can see where it comes up on a hip and then you have the cable right there.",5623,6691,1067,233,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
7,"take a look at it, you can see where it comes up on a hip and then you have the cable right there. And if you remember that three feet that we entered, that distance is measuring from where the hip ends. So it comes here and ends here. The vertical height from here to the plate height, that's going to be three feet. Okay, so you can have a really small gap like this or if you wanted to have a larger gap, what if you wanted to have a larger gap? There are a couple of things you can do. All right, we can edit these edges again. So I'm going to click on this edge and this edge over here and I'm going to hit enter. And what we can do is to shorten this distance. Okay, so what if we made this 12 inches which is one foot, I'm going to do the same thing on the other side 12 inches which is one foot. We hit OK, you'll notice that it moves it back some and it is no much larger. Okay, and of course it shardens the hip on both sides.",6591,7529,936,197,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
8,"moves it back some and it is no much larger. Okay, and of course it shardens the hip on both sides. So if I go back to a front view here, you can see that what happened is it moves the entire cable and out towards the end of the building and also shardens this height and that's what we actually did was to enter a one foot height here instead of having a three foot height which would have landed us out here as we saw earlier. So depending on the style that you're going for, you can manipulate those numbers to get exactly what you need. But in general, this is how you go about adding Dutch hip roof in order to get architecture. Essentially what we have done is to add a second slope to both sides of this roof. Now what if you wanted to go back in and delete those edges and bring it back to square one. All we have to do is to click on the roof one more, go back to edit edges and we'll go back into both of the corner edges here and simply come down to the 90 degrees that we added and hit delete on the keyboard and that's gone.",7429,8467,1037,212,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
9,"nd simply come down to the 90 degrees that we added and hit delete on the keyboard and that's gone. We'll do the same thing for the second edge and come down and we'll hit delete and just like that we would revert back to a simple hip roof. So if you're looking for a deeper dive into AutoCAD architecture without the distractions of YouTube, I have the perfect online course for you. So far everyone that takes it, enjoy it. You can read the comments for yourself or rather the reviews for yourself and so go ahead and check it on I'll drop the link in the description. But also if you are just starting out as an architectural drafter or you're looking to get into a job a career in this field, I have a perfect course for you as well that will take you from start to finish learning the very fundamental concepts all the way up to being able to draw something that employers or your recruiter can look at and say hey you know what you're doing. But I'm going to drop a link below for that as well I think it's going to be amazing if you are looking to get into this career.",8367,9444,1076,210,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
