index,text,start_char,end_char,char_count,word_count,metadata
0,hello everyone welcome back to another video today we are going to be talking about the display manager in autocad architecture now the display manager is more on the advanced side of things it is a powerful and comprehensive tool and can be overwhelming if i try to teach it all in one video so today i'll be giving you somewhat of an introduction to the display manager which i do hope will spark the fire in your brain and thereby causing you to do more exploration and discover learning on your own now i must disclaim that i do not have a lot of experience with the display manager mainly because i tend to use a lot of the default settings on my own projects however i have been doing a little bit more exploration with the display manager this is coming off of the heels of the previous video that i did on skylight windows if you haven't seen that video as yet i might just drop the link below or above somewhere just check it out um but in that video i mentioned that there was something tha,0,1000,1000,191,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
1,w or above somewhere just check it out um but in that video i mentioned that there was something that cannot be done in autocad architecture here's a recap of that here is the caveat now when you're looking at it from a plan view this is what the window looks like for some reason autocad doesn't allow the window to look as is and of course after that video a fellow subscriber reached out to me and explained that there is actually a way to fix the issue using the display manager so now that i have learned how to fix the issue i would love to pass that knowledge on to you guys my beloved audience so yeah here we go um let's jump into autocad architecture and try to learn something new shall we okay so here we are in autocad architecture i'm using the 2023 version but you shouldn't have any problems if you're using earlier versions i'm pretty sure that you can do everything i'm doing here so no worries um but yeah let's jump right into it uh no hesitation uh where do we find the display m,900,1900,1000,194,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
2,o no worries um but yeah let's jump right into it uh no hesitation uh where do we find the display manager so we go over to the manage tab and this is where that guy is located right here now before we jump into it there's so much to explain here guys but i'm gonna try to break it down as simple as i possibly can um but yeah the display manager pretty much controls your display configurations down here okay these are the default ones and these control the visibility graphics of various objects within your model your drawing depending on the view that you're looking at okay so that's the first complication right there um so for example if we're looking at a plan view why is it that when we look at this door from a plan view we can see the swing and you know stuff like that but when we go to a 3d view we are seeing different details okay the display manager is what controls the visibility graphics of these objects so it applies to walls windows you know even the stairs you know all of th,1800,2800,1000,195,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
3,graphics of these objects so it applies to walls windows you know even the stairs you know all of these things are being controlled um as a matter of fact let me kind of isolate this door here and uh what i'm gonna do is switch from the medium detail to for example a high detail configuration and this particular configuration what it does is to display more details about the door all right it displays the actual position of the door panel which is closed it displays this door stop it also goes as far as to display the door panels within the door and so is this something you want to see from a plan view perspective probably not so more than likely most people like myself would prefer to have the door represented in this particular configuration since you know on a plan view this is what you normally want to see all right and so the same thing occurs if we were to rotate this in a 3d view now we can see the panels and we can see different elements or parts of the door if we were to go to,2700,3700,1000,196,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
4,now we can see the panels and we can see different elements or parts of the door if we were to go to an elevation view like the left view here you can see even additional information telling us where the door hinges are located so all of this is being controlled again by your display manager which is controlling your display configuration and this now tells autocad what to show on your drawing depending on what view you're looking at okay back to top view this is what we are seeing uh let me kind of you know bring everything back in the scene here um so what happened now is that it does that sort of thing to every single object within your drawing so when we go over to the roof design where we had our issue before where we have our roof we can see the outline of our roof but the window on top of that roof is seen as if it were still in a plan view and so this is the issue we want to attempt to fix in today's video the roof is a little difficult to see so what i'm going to do here is to,3600,4600,1000,205,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
5,mpt to fix in today's video the roof is a little difficult to see so what i'm going to do here is to edit this roof style here and i'm going to go to i'm just going to click on this right here and i'm going to change the cut above and the cut below i'm going to change the color to maybe this orange color here just to brighten it up a little bit so that we can see it much clearer all right so i think that's better you can tell me if it uh if you like that drop a like underneath this video so what we want to do is to make it so that when we see this window is almost as if we're looking at it from an elevation view even though we are looking from a top view here okay now the display manager is all about fixing that problem as a matter of fact if we were to switch from medium to high detail sorry to high detail uh you can see that it actually give us what we need but then it changes the outline of the roof it makes it solid all the way and that's that's another issue okay so i'm gonna swit,4500,5500,1000,214,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
6,ine of the roof it makes it solid all the way and that's that's another issue okay so i'm gonna switch back to medium detail and what i'm going to do here is to go to my display manager the first thing you'll notice is that we have four different drawings here and that's because those are the four drawings i have open up currently but the roof design has been expanded that's because that's the one we are working on now within this drawing you can see that we have three folders one for configurations which would be the same things down here one for sets and one for representation by objects now i'm not going to go through all the knicks knocks and the ins and outs of every single thing here but i'm gonna just show you enough to where we can fix this issue so what we are gonna do is to drop down our configuration you can see that the medium detail is active as you can see down here all right let's click on this one here and as you can see we have a cut plane default settings which we can,5400,6400,1000,198,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
7,ht let's click on this one here and as you can see we have a cut plane default settings which we can you know change if we want or you know leave it as is we have configuration and this is where the magic happens and as you can see here we have different views directions like we have over here and for each view we have a set that is being assigned and this is where things start to get complicated guys but bear with me so where do we find these sets and how can we modify these sets here to show exactly what we want when we look from top view because we're more concerned about top view here than anything else so i'm going to focus on top view here so the first thing i'm going to actually do here is to create a configuration all right so i'm going to right click here and i'm going to say new and this is it down here so click on that guy here go over to general and i'm going to rename this to be roof plan now once you create a new configuration and hit apply okay if we click on this pull u,6300,7300,1000,208,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
8,o be roof plan now once you create a new configuration and hit apply okay if we click on this pull up button here you will see your new configuration here i'm not going to click on it as yet since we haven't you know make all the necessary adjustments so let's go back to the display manager drop down our configurations and we have our roof plan configuration here we go over to configuration and as you can see uh no set has been assigned to these ones here as you can see there but the top and the 3d view has an assignment okay i'm fine with the 3d view being model high detail that's fine but when we get to the top view it has a set that i don't want to use all right so i'm going to remove this one i'm going to say none but the question is where do we go to create a new set for this configuration that is right in the next folder okay so if we drop this down these are all the sets that are available to assign to all of your views so if i click on this particular set here and i'm gonna jus,7200,8200,1000,208,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
9,available to assign to all of your views so if i click on this particular set here and i'm gonna just big this up a little bit more so you can see what's going on this is where things become confusing and complicated all right guys but no worries i'm here to kind of break it down for you a little bit so as you can see a number of boxes have been checked in here based on the object these are all the various objects that are available in autocad architecture and up here we have different display representation okay so i mean you know we have general views we have elevation views we have uh model views we have model high detail we have plan views all the possible views that are in autocad are up here you know i think it would be easier if i create one and then show you how it works so what we're going to do is to create a new set it's right here and i'm going to rename this to be the roof plan set okay let's go over to display representation control just like we were looking at previously,8100,9100,1000,200,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
