index,text,start_char,end_char,char_count,word_count,metadata
0,so today we are pulling back the curtains and dive into the world of windows and door schedules and of course as Architects and designers we often times will need to do windows and door schedules for many reasons that we'll talk about a little bit later but you got to stay around to the end because I'm going to be showing you how to add icons or images to your schedule to make them look something like this so what I'm saying and so yeah you're going to be able to add uh images and icons to your schedule and make them Stand Out Above the Rest so stay tuned for that let's go so Windows Ando schedules are perhaps the two schedules that you will always need to have on your architectural designs and these schedules do play a crucial role in the life cycle of uh the project and so uh it provides organization and Clarity consistency uh cost estimation is one of the big parts of having schedules in general but more so windows and door schedules since that's what we're focusing on today uh we t,0,1000,1000,191,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
1,in general but more so windows and door schedules since that's what we're focusing on today uh we talk about efficient communication and also uh construction guidance you know the contractor will need to know okay uh when I'm building this door I need to make the uh height that and the width that and so on and so forth now why would you want to add images or icons to your schedules a couple of uh reasons of course it does improve communication and it makes uh for a professional look and most of all it makes your schedule user friendly all right immediately as you look at the schedule you kind of know what you're looking at rather than having to think too deeply you just know okay this is the entry door this is the byold door and so on and so forth and so these type of schedules really do add that extra push or professional look to your drawings all right so let's dive into that over into AutoCAD here all right so here we are in AutoCAD Architecture and this is the floor plan that we'l,900,1900,999,192,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
2,o AutoCAD here all right so here we are in AutoCAD Architecture and this is the floor plan that we'll be working with I will provide links in the description if you want to follow along uh where you can download these uh drawings and also the PDF that was uh shown a little bit earlier however as you can see here I have this nice little floor plan going on with some windows as you can see there I do have some doors and so on and so forth I have also added spaces into my drawing and you'll see that these spaces will become important a little bit later especially when we want to determine where in the building these windows and doors are located okay now remember I have a video on schedules already as a I think it's a pretty good video that will teach you how to create schedules from scratch okay how to build each property or parameter and how to enter information into those parameter all of that stuff and those techniques can be used regardless of the object that you are uh creating the,1800,2800,999,192,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
3,f that stuff and those techniques can be used regardless of the object that you are uh creating the schedule for so whether it be Windows Doors walls um roof slab stairs anything that you're creating as scheduled for the same principles apply and the same thing applies to this video um the things that I show you here can be applied to other objects within your project okay so that being said I will not be starting from scratch here I'm going to just pick a schedule one of the templates that were provided with the software so um how do we find that we go home we go to uh the tool drop down here and we click on style browser and that's going to pop out this little thing here this palette and at the top you want to go all the way down to where it says schedule table and in here AutoCAD would have provided some samples for us to use and so we can just pick uh you know anyone from the from the list however why don't we go over over here instead and we do have window schedule and door schedu,2700,3700,1000,199,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
4,e list however why don't we go over over here instead and we do have window schedule and door schedule here so I think I'd rather use these ones instead of those CU these come with a bunch of stuff so we click on door schedule there and it ask us to select the objects or hit enter to uh to begin what we can do is to just highlight the whole drawing like this and it will filter out the doors as you can see all the doors are selected there and we would hit enter and it starts to build a schedule and it is now asking us to place this somewhere now before we place it in our properties we could determine the scale here now I would recommend leaving the scale cuz the number that it places here is based on the scale that you're using and the this number is appropriate for the scale so if you had a halfin scale or 1/8 of an inch scale that number would be different but if you're using a quarter inch scale like I am doing here the number 48 is the actual number that you want to have so we're go,3600,4600,1000,205,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
5,inch scale like I am doing here the number 48 is the actual number that you want to have so we're going to leave that as is and we're going to just include we're going to click here and then once you make your first click you just hit enter and there you have it so this is our door schedule and why don't we do one for the window same time all right so we're going to do the same thing swipe select it will highlight all the windows in your drawing and then of course we'll hit enter once more and we're going to drop this on the side here click hit enter and we have our Windows all right so what we're going to do here is to edit each of these schedule to remove the columns that we don't want and also to add the columns that we need all right and uh even though some of these columns are not yet available we're going to create them and and I'll show you how to do that so what I'm going to do here is I'm going to click on the first schedule which is the door schedule here and I'm going to say,4500,5500,1000,208,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
6,ere is I'm going to click on the first schedule which is the door schedule here and I'm going to say edit style and you want to go over to the columns tab right here and then of course we have a bunch of columns that we don't need so all you got to do is to highlight them by holding down the control key on your keyboard and then clicking on each of these things right here I think I'm going to keep fire rating for the door that's fine uh if it's something you'll need to show but uh just for this example I'll keep it there and then I think that's it for doors I'm going to hit delete right here and then hit okay and so all of those are gone and then I can proceed to to adding a column that I need so I'm going to add and then I can scroll through the list that is available now if something is not available here we will have to go in and add that property to the uh to the door and so um as you will see here um we do have style so here it is but the other one which would be uh location is mi,5400,6400,1000,215,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
7,u will see here um we do have style so here it is but the other one which would be uh location is missing we're not going to be adding elevation because this would only apply if you have multiple story uh building so since it's just a flat building we're going to leave that one out but for the location we want to uh apply this one but it's not yet available or maybe it is let's see so we're going to add a style which we just did right here and we're going to hit okay and you can see that the style was added now I don't like where it is located right now hold on let me see something here okay yeah I think it's in the right spot so I have Mark first and then style and then I have the size fire rating then I want to have location like right after fire rating so I could go to add and in order to add location uh let me see that that's not showing up in here is it it's not so in order to add location we'll have to uh go into our style manager and do some little things in there as well as we,6300,7300,999,213,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
8,ocation we'll have to uh go into our style manager and do some little things in there as well as we don't have a column for our icons so we're going to be able to create uh two uh properties one for location and one for our icons okay so we have icon and location all right so we're going to hit okay for now cuz our canc rather and then hit okay here and you will see that your schedule has now been updated with the mark number the style the size fire rating such and so forth why don't we do the same for the window for now so let's go into window over to the column uh tab here and then we will delete these two columns and then I'll add style here so go down to style okay and then we will also need location and icon here so we're going to hit okay so this is what we have so far so so far so good yeah why don't we go now and try to add the location and the image now let's start with location because as you can see here I do have spaces within my drawing and if you don't know what these are,7200,8200,1000,212,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
9,because as you can see here I do have spaces within my drawing and if you don't know what these are I do have another video that talks about spaces and how to create them and what they are what they do all of that stuff but um if you click on one of these windows you'll see this little thing out here called Property Data location and anywhere this thing is located for any of your objects um uh your window or door will tell the program or the software that it's located within that space okay so for example this window has its location Point inside of this room so in your properties it will report that the location of this window is in bedroom number one and that applies to any of these object objects so if I click on this door it's going to tell me that it is in the master bedroom because the uh location point is in that room however guess what you can move it I can move it from one room to the next or I can move it to even another space of course that wouldn't make sense to move your,8100,9100,998,201,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
10,to the next or I can move it to even another space of course that wouldn't make sense to move your location for this door all the way up there but just so you know what that is and so that's what that does so how do we add added to our property over here because all of the properties I'm going to refresh this right here now all of the properties that we see within our schedule is being pulled from the door or the window object within your properties here so if you notice you have the style the width the height all of these information it's really what we're pulling out in our schedule so what we need to do is to add location to the list and we want to add the icon to the list as well okay let's begin with location so the first thing we're going to do is to go to the manage Tab and then to style manager and in here we have all the styles that are available in your project so we're going to go down to documentation go down to property set definition and we will click on uh windows style,9000,10000,999,203,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
11,to go down to documentation go down to property set definition and we will click on uh windows style or rather I tell you what for location we're going to create a new property set so we're going to right click and say new and we're going to say allcore object objects location okay let's put it let's do it like that okay so that's our new style reason why I create a new one here is because I want to be able to apply this to every single object cuz at some point I might need to use this for walls or for you know some objects within a room something of that sort so I just do all objects now of course if I wanted to apply this to one particular object I would rename it to that for example these other ones that you see down here you know it's called wall Styles because it only applies to walls same thing for doors windows and so on you would try to name it uh to be similar to the object that you are trying to apply to but since we're going to do all objects here I call it that and you go o,9900,10900,1000,207,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
12,you are trying to apply to but since we're going to do all objects here I call it that and you go over to the second tab here and you would say objects right here okay and then you would say select all because I do want this to be applied to every single object okay then I go over to definition and this is where I am able to create the property that I want to show up in the properties palette okay so for this one I'm going to go down to what is called add location property definition so if you watch my previous video on schedule we would have talked about the first two and I don't think we touched on format maybe in a later video but today we're going to be looking at location property so we click on that and in here I'm going to call this property location and then what we want to do since we're going to be using the space object to uh to identify the location of these things we're going to click on the space drop down there and we're going to click on Space object and if you notice,10800,11800,998,203,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
13,ng to click on the space drop down there and we're going to click on Space object and if you notice what you're seeing here space objects is actually a property set definition that was created by AutoCAD now I didn't create this AutoCAD created it so it's living in my project and that's these are the properties that are within your spaces here okay so what we're doing is to pick the name of the space okay and we're going to hit okay just like that and and then for description let me see if I can change the description here use property name for description I'm going to uncheck that and hit okay and I should be able to edit this to be location okay so that's what I want there location location and then over in your format you can tell it how you want it to be shown in your schedule uh let's keep it at uppercase and we'll leave it at that and we hit okay okay so now that we have created that property we can apply to all of our windows and all of our doors so if I highlight everything in,11700,12700,999,199,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
